speed_object_1_kph,speed_object_2_kph,angle_degrees,PET,acceleration_obj1_mps2,acceleration_obj2_mps2,min_dist_dual_check_m,object_count_at_frame1,target_dist_px,FE_inv_PET,FE_safety_index,FE_log_mesafe,FE_dist_squared,class_object_1,class_object_2
4,7,1.56,2.7,0.56,0.56,15.783,44,214.962,0.3703702331962099,0.025585917391976642,5.375102466281458,46208.661444,Car,VRU
10,13,12.21,1.93,0.0,0.0,6.734,40,87.684,0.518134446562463,0.1311527743812694,4.485079489729964,7688.483856,Car,VRU
10,19,15.99,2.37,0.0,0.0,4.076,39,50.3,0.42194075023597033,0.2882703720025771,3.937690752176724,2530.0899999999997,Car,VRU
10,6,1.84,1.83,0.56,0.56,9.119,43,121.229,0.5464477888263449,0.06599081023525055,4.805896334458151,14696.470441,VRU,Car
7,6,67.06,1.33,1.11,-1.11,1.745,38,17.514,0.7518791339254632,0.37113164490512474,2.9185272026450195,306.74019599999997,VRU,VRU
10,9,43.51,2.17,0.0,0.0,4.312,52,53.613,0.4608292807238338,0.17719582606465176,4.0002719496487815,2874.353769,Car,VRU
10,9,58.81,1.27,0.0,0.56,1.512,50,14.229,0.7874009548023978,0.667650525852096,2.7232015048695537,202.46444099999997,Car,VRU
9,16,75.75,2.0,1.11,0.0,2.663,45,30.428,0.499999750000125,0.4108058232284138,3.447699215313575,925.863184,Car,VRU
7,10,5.52,2.07,0.0,0.56,3.029,46,35.578,0.4830915540620512,0.2389116802824307,3.599446966782384,1265.794084,Car,VRU
5,7,4.97,2.27,0.56,0.56,3.906,40,47.906,0.44052844029584126,0.12524526937658603,3.8899000883403754,2294.984836,Car,VRU
11,13,70.55,2.83,0.0,0.0,3.166,40,37.498,0.353356765598316,0.32001705904269406,3.650606291892444,1406.100004,Car,VRU
8,13,7.48,1.9,0.0,0.56,4.253,50,52.788,0.5263155124655198,0.19890883915077598,3.9850503939616235,2786.5729439999996,VRU,VRU
11,12,61.07,1.5,0.56,0.56,2.6,50,29.537,0.6666662222225186,0.38934216781182357,3.4189390631383123,872.434369,Car,VRU
12,5,50.14,1.27,0.0,0.0,3.702,48,45.041,0.7874009548023978,0.18871694259192864,3.8295323038610674,2028.6916809999998,Car,Ped
16,12,21.39,1.87,1.11,0.56,3.37,50,40.375,0.5347590723213517,0.34674921741797604,3.722676833697227,1630.140625,Car,VRU
13,13,65.8,2.4,0.56,0.0,5.343,50,68.122,0.41666649305562786,0.1908340889751609,4.235873059262371,4640.606884,Car,VRU
13,12,68.19,2.33,0.56,1.11,6.72,50,87.481,0.42918436515692476,0.14288816836926685,4.4827878396993075,7652.925360999999,Car,VRU
12,5,69.97,2.5,0.0,0.0,4.157,51,51.44,0.399999840000064,0.16524105433046163,3.959669658895499,2646.0735999999997,Car,Ped
8,9,8.16,1.47,0.0,0.0,2.54,50,28.693,0.6802716460737102,0.2962394905991185,3.3909113277936553,823.2882490000001,VRU,VRU
8,9,8.2,1.5,0.0,0.0,2.641,50,30.112,0.6666662222225186,0.2822794805300385,3.437593596853446,906.7325439999998,VRU,VRU
8,9,0.99,1.93,0.0,-0.56,1.443,50,13.261,0.518134446562463,0.6409772535270906,2.65752853875463,175.854121,VRU,VRU
9,10,7.67,1.63,0.0,0.56,2.355,48,26.09,0.6134965561370822,0.3641241715552253,3.2991646560970036,680.6881,VRU,VRU
10,18,3.28,1.7,0.0,0.0,6.646,54,86.451,0.5882349480970894,0.16194144472659144,4.4710786365050055,7473.775400999999,VRU,Car
9,9,5.37,2.43,0.56,0.0,3.431,49,41.225,0.41152246439404755,0.21831412447994847,3.743012462693864,1699.5006250000001,VRU,Car
13,9,5.07,2.63,0.0,-1.11,2.075,50,22.15,0.38022799230874815,0.4966139730648319,3.1419947805322432,490.62249999999995,Car,VRU
12,8,28.39,2.8,0.0,-0.56,4.62,53,57.95,0.3571427295918823,0.17256255094801465,4.07668962698338,3358.2025000000003,VRU,Car
18,4,71.85,2.2,0.56,0.0,1.19,49,9.703,0.45454524793397816,1.1336698821323425,2.3705240760022384,94.148209,Car,Ped
4,11,60.14,1.9,0.0,1.11,0.662,40,2.285,0.5263155124655198,3.2822742747158533,1.189366651936574,5.2212250000000004,Ped,VRU
12,12,0.82,2.67,0.56,0.0,8.881,36,117.883,0.37453169493194943,0.1017958475624488,4.778139816182667,13896.401688999998,VRU,VRU
12,12,0.39,2.7,0.56,0.0,8.787,37,116.562,0.3703702331962099,0.10294950238543006,4.766965853995321,13586.699843999999,VRU,VRU
12,11,14.49,2.9,0.56,0.0,9.358,39,124.598,0.3448274673008733,0.09229682585357048,4.833086330340438,15524.661603999999,VRU,VRU
